SourceFile,Video Classes 1,Keywords
A012_C029_10311O.mp4,Product opening,Kitchen
A012_C030_1031CB.mp4,Product opening,Kitchen
A013_C001_1101BI.mp4,Application2,Kitchen
A013_C002_11019P.mp4,Application2,Kitchen
A013_C003_11018D.mp4,Application2,Kitchen
A013_C004_1101HW.mp4,Clapperboard,Kitchen
A013_C005_1101PI.mp4,Product opening,Kitchen
A013_C006_1101P6.mp4,Product opening,Kitchen
A013_C007_1101L3.mp4,Product opening,Kitchen
A014_C001_1101IB.mp4,Product opening,Kitchen
A014_C002_1101UX.mp4,Product opening,Kitchen
A014_C003_1101YO.mp4,Product opening,Kitchen
A014_C004_1101WN.mp4,Product opening,Kitchen
A014_C005_1101T0.mp4,Product opening,Kitchen
A014_C006_1101PM.mp4,Product opening,Kitchen
A014_C007_1101PN.mp4,Product opening,Kitchen
A014_C008_1101Z3.mp4,Product opening,Kitchen
A014_C009_1101R1.mp4,Product opening,Kitchen
A014_C010_1101L7.mp4,Product opening,Kitchen
A014_C011_1101GH.mp4,Product opening,Kitchen
A014_C012_1101S0.mp4,Product opening,Kitchen
A015_C001_11017L.mp4,Clapperboard,Kitchen
A015_C002_1101I2.mp4,,Kitchen
A015_C003_11011B.mp4,,Kitchen
A015_C004_1101WD.mp4,Application1,Kitchen
A015_C005_110136.mp4,Application1,Kitchen
A015_C006_1101EK.mp4,Clapperboard,Kitchen
A015_C007_1101KS.mp4,Application1,Kitchen
A015_C008_1101EV.mp4,Application1,Kitchen
